지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
서울 중구,도시대기,111121,중구,2020010101,,,0.002,0.036,24,19,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010102,,,0.001,0.039,25,21,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010103,0.003,0.9,0.001,0.037,29,23,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010104,0.002,0.6,0.001,0.036,26,22,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010105,0.002,0.6,0.001,0.035,25,19,서울 중구 덕수궁길 15
,,,,,,,,,,,
,,,,,,,,,,,
서울 중구,도시대기,111121,중구,2020010108,0.003,0.7,0.001,0.035,26,21,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010109,0.003,0.6,0.002,0.036,31,24,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010110,0.002,0.6,0.003,0.036,31,23,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010111,0.003,0.6,0.004,0.033,34,27,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010112,0.003,,,0.033,33,28,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010113,0.003,,,0.033,42,34,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010114,0.003,,,0.032,40,34,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010115,0.003,,,0.035,43,38,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010116,0.003,0.6,0.006,0.034,41,35,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010117,0.003,0.7,0.003,0.037,40,36,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010118,0.003,0.6,0.002,,,34,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010119,0.003,0.6,0.002,,,32,서울 중구 덕수궁길 15
서울 중구,도시대기,111121,중구,2020010120,0.003,0.6,0.001,,,35,서울 중구 덕수궁길 15
